CLUSTER_COUNT	STATUS	CLUSTER_SIZE	DATASET	RESOURCE_URI	CLUSTER_ID	ILN_GROUP	RESOURCE_URI_NEW
1	B	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24273101p1	PH19b7294f077ecf0	1	https://archief.amsterdam/indexen/deeds/f4e624a4-517f-43a0-924d-668c82347f3f?person=961f6ad6-c712-53f7-e053-b784100aa83b
1	B	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24444353p1	PH19b7294f077ecf0	2	https://archief.amsterdam/indexen/deeds/ed920a8a-ad2d-4523-9d77-b18e78b76501?person=961f6ae6-75c5-53f7-e053-b784100aa83b
1	B	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24515677p1	PH19b7294f077ecf0	1	https://archief.amsterdam/indexen/deeds/78311b61-f08b-4fb7-b49d-109eb6244397?person=961f6b04-9dc8-53f7-e053-b784100aa83b
1	B	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24544852p1	PH19b7294f077ecf0	1	https://archief.amsterdam/indexen/deeds/311561a8-97f5-4f8a-9515-a91fe1f84401?person=961f6adf-6e0a-53f7-e053-b784100aa83b
1	B	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24547914p1	PH19b7294f077ecf0	1	https://archief.amsterdam/indexen/deeds/ff67f79c-3378-4dd7-a316-15c62139c6ee?person=961f6aee-5cc9-53f7-e053-b784100aa83b
1	B	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24621793p1	PH19b7294f077ecf0	2	https://archief.amsterdam/indexen/deeds/ceee864c-61bb-46c5-83f1-8b21a09d9d3e?person=961f6ae7-38dc-53f7-e053-b784100aa83b
1	B	7	http://www.vondel.humanities.uva.nl/ecartico/persons/	http://www.vondel.humanities.uva.nl/ecartico/persons/23023	PH19b7294f077ecf0	1	http://www.vondel.humanities.uva.nl/ecartico/persons/23023
2	G	4	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24509717p2	PH32817db85dd091e	1	https://archief.amsterdam/indexen/deeds/be85ad8d-9ce2-4442-b535-e34a3fbb34f1?person=961f6b04-9728-53f7-e053-b784100aa83b
2	G	4	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24524508p2	PH32817db85dd091e	1	https://archief.amsterdam/indexen/deeds/18fc47ab-1ce2-4883-937c-8016689fc76d?person=961f6b0c-1d03-53f7-e053-b784100aa83b
2	G	4	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24583287p2	PH32817db85dd091e	1	https://archief.amsterdam/indexen/deeds/e4a306e0-bbfc-47c1-8049-2c83cd887426?person=961f6b04-e7d9-53f7-e053-b784100aa83b
